,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Status,Status,Status,Status,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status
Romania,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,F,3,3,7,7,3,10,10,12,55,PF,3,3,7,7,7,10,7,6,50,PF,6,5,5,6,8,9,4,6,49,PF,6,4,7,7,7,10,2,4,47,PF,6,4,7,7,7,8,0,0,39,PF,6,4,7,7,7,8,0,5,44,PF,6,4,7,7,7,8,1,4,44,PF,6,4,7,7,7,8,1,4,44,PF,11,14,10,35,PF,12,14,12,38,PF,13,19,15,47,PF,13,18,16,47,PF,13,16,15,44,PF,12,15,15,42,PF,13,16,15,44,PF,13,16,15,44,PF,13,15,15,43,PF,13,15,14,42,PF,12,15,14,41,PF,12,16,14,42,PF,12,15,14,41,PF,12,15,15,42,PF,9,16,13,38,PF,9,16,13,38,PF
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,3,2,7,2,3,10,3,10,40,PF,3,2,7,4,3,6,10,20,55,PF,3,2,7,4,5,5,12,20,58,PF,5,3,12,11,5,7,5,5,53,PF,5,3,12,11,5,7,5,5,53,PF,5,3,12,11,8,10,5,5,59,PF,6,6,10,10,8,10,5,5,60,PF,7,7,10,8,8,10,5,5,60,PF,13,30,17,60,PF,14,30,22,66,NF,14,30,23,67,NF,14,31,23,68,NF,16,32,24,72,NF,18,33,24,75,NF,21,33,24,78,NF,23,33,24,80,NF,24,33,24,81,NF,24,33,24,81,NF,24,32,24,80,NF,25,32,24,81,NF,25,32,24,81,NF,25,34,24,83,NF,25,34,24,83,NF,25,34,24,83,NF
Rwanda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NF,NF,10,8,7,8,7,7,5,10,63,NF,-,-,-,-,-,-,-,-,-,NF,10,8,10,9,10,9,2,16,74,NF,14,11,15,15,6,7,3,3,74,NF,14,11,15,15,6,10,0,0,71,NF,14,11,15,15,6,10,0,1,72,NF,14,11,15,15,6,10,0,1,72,NF,14,11,15,13,7,12,0,0,72,NF,26,37,24,87,NF,24,33,23,80,NF,24,33,25,82,NF,24,34,26,84,NF,24,35,26,85,NF,24,34,26,84,NF,24,34,26,84,NF,25,34,26,85,NF,26,33,24,83,NF,26,34,24,84,NF,26,32,24,82,NF,24,32,24,80,NF,22,33,24,79,NF,22,34,23,79,NF,23,34,22,79,NF,23,34,22,79,NF
Saint Kitts and Nevis,-,-,-,-,-,-,-,-,F,F,F,F,F,F,F,F,F,F,F,F,F,2,2,5,3,2,3,2,2,21,F,2,2,5,3,2,3,0,2,19,F,7,5,3,1,0,2,0,0,18,F,7,5,3,1,0,2,0,0,18,F,7,5,3,1,0,2,0,0,18,F,7,5,3,1,0,2,0,0,18,F,7,5,3,1,0,2,0,0,18,F,7,5,3,1,0,2,0,0,18,F,4,6,8,18,F,4,7,7,18,F,2,9,10,21,F,6,8,9,23,F,4,9,8,21,F,4,8,8,20,F,4,8,7,19,F,4,8,7,19,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,9,7,20,F,4,10,7,21,F
Saint Lucia,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,2,2,2,3,1,1,13,F,1,1,2,2,3,3,1,0,13,F,3,3,3,2,0,2,0,0,13,F,3,3,3,2,0,2,0,0,13,F,3,3,3,2,0,2,0,0,13,F,3,3,3,2,0,2,0,0,13,F,3,3,3,2,0,2,0,0,13,F,3,3,3,2,0,2,0,0,13,F,0,4,7,11,F,0,4,4,8,F,4,3,4,11,F,6,5,5,16,F,6,7,5,18,F,4,7,5,16,F,3,9,4,16,F,2,9,4,15,F,2,9,4,15,F,2,9,4,15,F,2,9,4,15,F,3,8,4,15,F,3,8,4,15,F,3,8,4,15,F,3,8,4,15,F,3,10,4,17,F
Saint Vincent and the Grenadines,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,2,5,3,2,4,3,1,22,F,1,1,1,3,2,4,0,0,12,F,3,3,5,3,0,2,0,0,16,F,3,3,5,3,0,2,0,0,16,F,3,3,5,3,0,2,0,0,16,F,3,3,5,3,0,2,0,0,16,F,3,3,5,3,0,2,0,0,16,F,3,3,5,3,0,2,0,0,16,F,2,7,7,16,F,2,8,7,17,F,1,5,8,14,F,2,5,9,16,F,3,6,7,16,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,4,7,6,17,F,5,9,7,21,F
Samoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,10,2,5,3,1,1,30,F,3,4,6,5,5,5,0,1,29,F,3,4,6,5,5,5,0,0,28,F,3,4,6,5,5,5,0,0,28,F,3,4,6,5,5,5,0,0,28,F,3,4,6,6,5,5,0,2,31,PF,3,4,6,6,5,5,0,5,34,PF,2,2,3,3,5,6,0,0,21,F,4,5,14,23,F,4,4,16,24,F,4,8,12,24,F,4,9,12,25,F,6,12,11,29,F,7,12,11,30,F,7,12,10,29,F,7,13,9,29,F,7,13,9,29,F,7,14,9,30,F,7,13,9,29,F,7,13,9,29,F,7,13,9,29,F,8,13,9,30,F,7,13,9,29,F,7,13,9,29,F
San Marino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,5,9,F,1,7,6,14,F,1,8,7,16,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,6,7,17,F,4,5,7,16,F,4,5,7,16,F,4,5,7,16,F,4,5,7,16,F,4,6,7,17,F
São Tomé and Príncipe,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,4,4,10,8,8,8,4,6,52,PF,6,6,6,6,2,5,2,1,34,PF,6,6,8,8,1,5,6,8,48,PF,9,9,12,12,0,5,1,0,48,PF,7,7,6,5,0,5,0,0,30,F,7,7,6,5,0,5,0,0,30,F,7,7,4,4,0,5,0,0,27,F,7,5,4,4,0,5,0,0,25,F,1,3,15,19,F,1,3,15,19,F,4,10,14,28,F,4,10,14,28,F,4,11,14,29,F,4,11,14,29,F,4,10,14,28,F,4,10,14,28,F,4,10,14,28,F,4,11,14,29,F,4,11,14,29,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F,4,11,13,28,F
Saudi Arabia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,9,9,10,10,10,8,5,10,71,NF,10,10,10,10,10,10,5,11,76,NF,10,10,10,10,10,10,0,2,62,NF,15,15,15,15,10,10,0,0,80,NF,15,15,15,15,10,10,0,0,80,NF,15,15,15,15,10,15,0,0,85,NF,15,15,15,15,15,15,0,0,90,NF,15,15,15,15,15,15,1,1,92,NF,26,28,26,80,NF,29,28,23,80,NF,29,27,24,80,NF,29,28,23,80,NF,28,28,23,79,NF,28,30,24,82,NF,28,29,24,81,NF,28,29,25,82,NF,28,30,25,83,NF,28,30,25,83,NF,29,30,25,84,NF,29,30,25,84,NF,29,29,25,83,NF,29,29,25,83,NF,29,32,25,86,NF,29,32,25,86,NF
Senegal,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,9,9,10,7,8,7,3,3,56,PF,8,6,8,7,8,5,1,5,48,PF,8,6,4,5,0,6,0,2,31,PF,8,6,4,6,0,9,1,3,37,PF,8,6,4,6,0,9,0,0,33,PF,8,6,4,6,0,9,0,0,33,PF,8,6,4,6,0,9,0,0,33,PF,8,5,4,3,3,9,0,2,34,PF,19,14,6,39,PF,15,14,9,38,PF,12,16,9,37,PF,10,15,12,37,PF,12,20,12,44,PF,13,21,12,46,PF,16,20,13,49,PF,18,21,14,53,PF,20,22,15,57,PF,20,20,14,54,PF,21,20,14,55,PF,20,18,14,52,PF,18,16,14,48,PF,18,16,14,48,PF,19,16,14,49,PF,18,15,14,47,PF
Serbia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,17,9,39,PF,13,17,9,39,PF,13,17,9,39,PF,11,16,8,35,PF,9,15,9,33,PF,9,15,11,35,PF,9,16,11,36,PF,9,16,12,37,PF,11,17,12,40,PF,12,21,12,45,PF,15,21,13,49,PF
Serbia and Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,9,10,10,12,15,86,NF,10,10,10,9,5,10,13,20,87,NF,10,10,10,10,7,10,0,20,77,NF,12,12,12,12,7,10,5,5,75,NF,12,12,12,12,7,10,5,5,75,NF,13,13,13,13,8,11,5,5,81,NF,13,13,14,12,8,11,5,5,81,NF,8,10,7,9,7,9,3,3,56,PF,11,20,14,45,PF,10,18,12,40,PF,12,16,12,40,PF,12,17,11,40,PF,12,17,11,40,PF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seychelles,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,8,10,6,2,8,6,2,2,44,PF,8,8,8,8,5,9,5,6,57,PF,10,10,10,10,3,7,0,0,50,PF,10,10,10,10,3,7,0,0,50,PF,10,10,10,10,3,7,0,0,50,PF,10,10,10,10,3,7,0,0,50,PF,10,10,10,10,3,6,0,1,50,PF,13,8,10,10,3,6,0,1,51,PF,25,12,14,51,PF,17,16,17,50,PF,17,17,18,52,PF,21,19,18,58,PF,20,21,19,60,PF,20,21,19,60,PF,20,20,19,59,PF,20,20,19,59,PF,19,20,19,58,PF,17,20,19,56,PF,17,20,19,56,PF,17,20,19,56,PF,16,19,17,52,PF,16,17,17,50,PF,16,16,17,49,PF,16,16,17,49,PF
Sierra Leone,NF,NF,NF,NF,NF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,NF,PF,PF,NF,9,10,10,9,10,10,8,15,81,NF,10,10,9,10,8,8,3,14,72,NF,10,10,10,10,5,10,0,20,75,NF,15,15,10,15,5,10,0,5,75,NF,15,15,10,15,5,10,5,5,80,NF,15,15,15,15,5,10,0,5,80,NF,15,15,15,15,5,10,5,5,85,NF,13,12,13,12,5,13,2,5,75,NF,13,28,21,62,NF,17,26,18,61,NF,18,20,20,58,PF,20,21,18,59,PF,19,22,18,59,PF,17,21,18,56,PF,18,23,18,59,PF,16,23,17,56,PF,15,23,17,55,PF,15,22,16,53,PF,14,19,16,49,PF,14,19,16,49,PF,14,19,16,49,PF,15,19,16,50,PF,16,21,16,53,PF,18,20,16,54,PF
Singapore,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,NF,PF,NF,PF,NF,PF,PF,PF,PF,PF,9,9,9,8,7,9,1,8,60,PF,9,9,9,9,8,8,3,10,65,NF,10,10,8,10,7,10,0,6,61,NF,13,13,8,10,7,15,0,0,66,NF,13,13,8,10,7,15,0,0,66,NF,13,13,8,10,7,15,0,0,66,NF,13,13,8,10,7,15,0,0,66,NF,13,13,10,10,7,15,0,0,68,NF,26,22,20,68,NF,24,21,21,66,NF,23,22,19,64,NF,23,24,19,66,NF,23,24,19,66,NF,24,24,21,69,NF,24,24,21,69,NF,24,23,21,68,NF,24,23,21,68,NF,24,23,21,68,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF,24,22,21,67,NF
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,8,5,4,7,9,8,47,PF,5,5,9,9,5,7,7,8,55,PF,10,6,8,5,3,7,0,2,41,PF,10,8,10,7,4,7,1,2,49,PF,10,8,10,7,4,7,0,1,47,PF,8,8,3,3,4,4,0,0,30,F,7,8,3,3,4,4,0,1,30,F,5,6,3,3,4,4,0,1,26,F,10,5,7,22,F,9,6,6,21,F,8,7,6,21,F,5,9,7,21,F,5,8,7,20,F,5,8,7,20,F,6,9,7,22,F,7,9,7,23,F,7,9,7,23,F,6,9,7,22,F,5,9,7,21,F,6,9,7,22,F,7,9,7,23,F,7,9,8,24,F,7,9,8,24,F,8,9,9,26,F
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,2,2,6,6,8,8,4,4,40,PF,2,2,6,6,6,5,5,5,37,PF,4,2,6,4,3,8,0,0,27,F,4,2,6,4,3,8,0,1,28,F,4,2,6,4,3,8,0,0,27,F,4,2,6,4,3,8,0,0,27,F,4,2,6,4,3,8,0,0,27,F,4,2,5,3,3,4,0,0,21,F,2,5,13,20,F,3,6,10,19,F,3,9,7,19,F,3,9,7,19,F,4,9,7,20,F,5,9,7,21,F,6,10,7,23,F,7,10,7,24,F,8,10,7,25,F,8,10,7,25,F,8,10,7,25,F,6,11,7,24,F,6,11,7,24,F,7,10,8,25,F,6,8,9,23,F,6,8,9,23,F
Solomon Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,8,22,F,3,3,3,3,3,3,0,0,18,F,3,2,3,2,0,3,0,0,13,F,3,2,4,2,0,3,0,0,14,F,3,2,4,2,0,3,0,0,14,F,3,2,4,2,0,3,0,2,16,F,3,2,6,4,0,3,0,0,18,F,3,2,7,5,1,3,0,1,22,F,3,6,15,24,F,3,11,11,25,F,4,14,12,30,F,5,14,11,30,F,5,14,11,30,F,5,14,11,30,F,5,14,11,30,F,5,14,11,30,F,5,13,11,29,F,6,12,11,29,F,6,11,11,28,F,6,11,11,28,F,6,11,11,28,F,6,11,11,28,F,5,11,11,27,F,5,11,11,27,F
Somalia,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,-,-,-,-,-,-,-,-,-,NF,-,-,-,-,-,-,-,-,-,NF,10,10,10,10,10,10,5,14,79,NF,15,15,15,15,13,13,0,0,86,NF,15,15,15,15,13,13,0,0,86,NF,15,15,15,15,13,13,0,2,88,NF,15,15,15,15,13,13,0,2,88,NF,14,13,15,15,13,13,1,2,86,NF,26,36,26,88,NF,23,35,22,80,NF,24,33,23,80,NF,26,33,24,83,NF,26,33,24,83,NF,27,34,24,85,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,27,35,22,84,NF,26,34,22,82,NF,25,34,20,79,NF,25,34,20,79,NF,25,34,20,79,NF
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,21,19,54,PF,14,21,19,54,PF,13,21,19,53,PF
South Africa,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,NF,PF,PF,PF,PF,7,7,2,2,1,4,5,10,38,PF,5,3,3,4,1,3,0,11,30,F,6,2,5,3,2,6,2,4,30,F,6,2,7,5,1,3,0,3,27,F,6,2,7,5,1,3,1,3,28,F,6,2,7,5,1,3,1,3,28,F,6,2,7,5,1,3,0,1,25,F,5,2,6,3,3,3,0,1,23,F,4,9,10,23,F,6,9,10,25,F,7,8,9,24,F,7,10,9,26,F,7,11,9,27,F,7,12,9,28,F,7,12,9,28,F,9,12,9,30,F,9,13,10,32,PF,9,14,10,33,PF,10,14,10,34,PF,10,15,10,35,PF,9,14,10,33,PF,10,17,10,37,PF,9,17,10,36,PF,8,20,10,38,PF
South Korea,PF,PF,NF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,PF,NF,F,F,F,F,F,2,1,8,8,2,5,2,1,29,F,2,1,8,8,2,5,1,1,28,F,2,4,2,6,0,2,0,6,22,F,2,4,6,8,0,5,0,0,25,F,2,4,7,10,0,5,0,0,28,F,2,4,7,9,0,5,0,1,28,F,2,4,7,9,0,5,0,0,27,F,2,3,7,7,2,5,0,1,27,F,3,11,16,30,F,7,10,12,29,F,8,11,10,29,F,8,11,10,29,F,9,11,10,30,F,9,11,10,30,F,9,12,9,30,F,9,12,9,30,F,9,12,9,30,F,9,14,9,32,PF,9,14,9,32,PF,9,13,9,31,PF,9,14,9,32,PF,10,14,9,33,PF,10,14,9,33,PF,11,14,9,34,PF
South Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,26,17,59,PF,16,27,17,60,PF,16,29,17,62,NF,18,33,17,68,NF,18,31,17,66,NF,19,33,18,70,NF
Spain,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,3,2,2,3,1,1,14,F,1,1,3,3,3,8,0,4,23,F,5,1,5,2,0,4,0,0,17,F,5,1,5,2,0,4,1,1,19,F,5,1,5,2,0,4,0,0,17,F,5,1,5,2,0,4,3,1,21,F,5,1,5,2,0,4,0,1,18,F,4,1,4,2,2,4,1,2,20,F,1,9,7,17,F,1,8,7,16,F,3,10,6,19,F,4,13,5,22,F,4,12,5,21,F,4,13,5,22,F,5,13,5,23,F,5,14,5,24,F,5,14,5,24,F,4,13,6,23,F,4,14,6,24,F,5,14,8,27,F,6,14,8,28,F,6,14,8,28,F,6,14,8,28,F,6,14,8,28,F
Sri Lanka,F,F,F,F,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,5,5,5,7,5,8,3,5,43,PF,5,5,6,6,6,6,0,7,41,PF,6,6,2,8,2,5,2,15,46,PF,6,6,12,11,5,7,5,2,54,PF,6,6,12,11,5,7,0,3,50,PF,9,9,12,11,5,7,0,5,58,PF,9,9,15,15,5,7,5,5,70,NF,11,11,13,13,7,9,5,5,74,NF,17,29,17,63,NF,11,27,14,52,PF,15,22,16,53,PF,15,24,17,56,PF,15,26,17,58,PF,17,29,17,63,NF,19,31,17,67,NF,21,32,17,70,NF,23,32,17,72,NF,23,30,18,71,NF,23,31,18,72,NF,23,32,19,74,NF,23,33,20,76,NF,23,33,20,76,NF,19,26,19,64,NF,17,25,19,61,NF
Sudan,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,NF,PF,NF,PF,NF,NF,NF,NF,7,7,10,10,10,10,17,17,88,NF,10,10,10,10,10,10,0,16,76,NF,10,10,10,10,10,10,0,20,80,NF,15,15,15,13,5,13,5,4,85,NF,15,15,15,15,7,13,0,5,85,NF,15,15,15,15,7,13,0,5,85,NF,15,15,15,15,7,13,0,5,85,NF,15,15,15,15,7,13,0,5,85,NF,26,36,25,87,NF,26,35,23,84,NF,27,33,25,85,NF,28,33,25,86,NF,27,32,26,85,NF,27,30,24,81,NF,26,29,23,78,NF,27,29,22,78,NF,26,28,22,76,NF,26,30,22,78,NF,26,31,21,78,NF,26,32,22,80,NF,26,33,22,81,NF,26,33,22,81,NF,25,36,24,85,NF,26,36,24,86,NF
Suriname,F,F,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,NF,F,PF,PF,PF,PF,2,2,5,5,7,7,10,5,43,PF,2,2,5,7,7,7,5,10,45,PF,6,4,4,7,4,6,0,0,31,PF,6,4,4,7,4,6,0,0,31,PF,6,4,4,7,4,6,0,0,31,PF,6,4,4,6,4,6,1,0,31,PF,6,4,4,7,4,6,0,0,31,PF,6,4,3,4,4,6,0,1,28,F,0,11,14,25,F,0,12,14,26,F,2,10,6,18,F,2,11,7,20,F,4,12,7,23,F,5,11,6,22,F,5,12,6,23,F,5,12,6,23,F,4,12,7,23,F,4,12,7,23,F,4,12,7,23,F,6,12,6,24,F,8,13,7,28,F,8,14,7,29,F,8,13,7,28,F,8,13,7,28,F
Swaziland,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,PF,PF,7,9,9,8,10,9,10,10,72,NF,7,9,9,8,10,9,10,11,73,NF,9,10,10,10,0,10,0,20,69,NF,13,13,15,14,0,13,1,0,69,NF,15,15,15,14,0,13,0,3,75,NF,15,15,15,14,0,13,0,3,75,NF,15,15,15,14,0,13,0,5,77,NF,15,15,15,14,0,13,0,5,77,NF,26,26,25,77,NF,23,26,25,74,NF,23,28,26,77,NF,25,28,26,79,NF,25,27,25,77,NF,25,26,25,76,NF,25,26,25,76,NF,25,26,25,76,NF,24,27,25,76,NF,24,27,25,76,NF,24,27,25,76,NF,24,28,25,77,NF,25,28,25,78,NF,25,28,26,79,NF,25,30,27,82,NF,26,30,27,83,NF
Sweden,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,2,1,2,2,1,1,1,11,F,2,2,1,1,2,2,0,0,10,F,2,2,1,1,2,2,0,0,10,F,2,2,1,1,2,2,0,0,10,F,2,2,1,1,2,2,0,0,10,F,2,2,1,1,2,2,0,0,10,F,2,2,1,1,2,2,0,1,11,F,2,2,1,1,2,2,0,0,10,F,1,2,5,8,F,1,2,5,8,F,2,2,4,8,F,2,3,4,9,F,2,4,4,10,F,2,5,4,11,F,2,5,4,11,F,2,5,4,11,F,2,4,4,10,F,2,5,4,11,F,2,4,4,10,F,2,4,4,10,F,2,4,4,10,F,2,4,4,10,F,2,5,4,11,F,2,5,4,11,F
Switzerland,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2,2,1,1,1,2,1,1,11,F,2,2,1,1,1,2,0,1,10,F,2,2,1,1,1,1,0,0,8,F,2,2,1,1,1,1,0,1,9,F,2,2,1,1,1,1,0,0,8,F,2,2,1,1,1,1,0,0,8,F,2,2,1,1,1,1,0,0,8,F,2,2,1,1,1,1,0,0,8,F,1,2,5,8,F,2,3,5,10,F,2,2,5,9,F,3,3,5,11,F,3,3,5,11,F,4,3,5,12,F,5,3,5,13,F,5,3,5,13,F,5,3,5,13,F,5,3,5,13,F,4,3,5,12,F,4,3,5,12,F,4,3,5,12,F,4,4,5,13,F,4,4,5,13,F,4,4,5,13,F
Syria,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,10,10,10,9,10,8,8,75,NF,10,10,10,10,10,10,5,10,75,NF,10,10,10,10,5,5,5,20,75,NF,15,15,15,15,7,7,0,1,75,NF,15,15,15,15,7,7,0,0,74,NF,15,15,15,15,7,7,0,0,74,NF,15,15,15,13,7,7,0,1,73,NF,15,15,15,12,7,7,0,0,71,NF,24,30,24,78,NF,25,33,22,80,NF,28,32,20,80,NF,29,34,20,83,NF,29,33,22,84,NF,29,33,21,83,NF,29,33,21,83,NF,29,33,21,83,NF,29,33,21,83,NF,29,34,21,84,NF,29,38,22,89,NF,29,37,22,88,NF,29,38,22,89,NF,29,38,23,90,NF,29,38,23,90,NF,29,38,23,90,NF
